Class,Precision,Recall,F1,mAP
pistol,0.9313703815937842,0.7719298245614035,0.8441877393865278,0.5525597625277494
rifle,0.8569593988381929,0.7132308290338956,0.7785169613621411,0.5080087980078611
shotgun,0.9680082166136122,0.8181818181818182,0.8868112656048626,0.5546442867221331
