Class,Precision,Recall,F1,mAP
pistol,0.8636319997660022,1.0,0.9268267553620456,0.5819487026607894
rifle,0.8311404467246535,0.9655172413793104,0.8933036455789451,0.4953131082633357
shotgun,1.0,0.6241291618876891,0.7685708458830672,0.6202437975436738
